email,partner_name,event_type,literary,palce,city,type,title,body,start_date,start_time,end_date,end_time,,speaker,docs
Hanouf.Abdullah66@gmail.com,مقهى 12 حاسة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,كيف يكون الإبداع بزنس الإبداع الأدبي نموذج,مناقشه وحوار تحويل الابداع الى بزنس ، نقاش مع ٢ من الكاتبات في ادب الطفل وكاتب محتوى بود كاست,9/6/2023,8:00 PM,9/6/2023,10:00 PM,,احمد مقرم,0
Hanouf.Abdullah66@gmail.com,مقهى 12 حاسة,جلسة حوارية,ادب الأطفال واليافعين,الرياض,الرياض,فعالية,كيف يصبح الاديب ناقل للمشهد الادبي في العالم,دور الاديب في نقل المشهد الثقافي الادبي المحلي للعالم,9/15/2023,8:00 PM,9/15/2023,10:00 PM,,ميسون ابو بكر,0
Hanouf.Abdullah66@gmail.com,مقهى 12 حاسة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,توقيع كتاب,مناقشه لقصه الكتاب وفكره تاليفه وبعض محتوياته والتوقيع,9/15/2023,8:00 PM,9/15/2023,10:00 PM,,علي الديواني,0
Hanouf.Abdullah66@gmail.com,مقهى 12 حاسة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,حوار الكاتب احمد العرفج ( كيف نحب القراءة),مناقشة رحلة الكاتب احمد العرفج في مسيرته الأدبية,10/17/2023,8:00 PM,10/17/2023,10:00 PM,,أ. احمد العرفج,0
Hanouf.Abdullah66@gmail.com,مقهى 12 حاسة,جلسة حوارية,ادب الأطفال واليافعين,الرياض,الرياض,فعالية,١٠ خطوات لطفل قارئ,كيفية خلق بيئة محفزة لتنشئة طفل محب للقراءة,10/26/2023,8:00 PM,10/26/2023,10:00 PM,,أ. هناء حسنين,0
sixtyonemin@gmail.com,مقهى 61 دقيقة,أمسية شعرية,الشعر,الرياض,الرياض,فعالية,إني مسني الشعر,أمسية شعرية,9/23/2023,8:00 PM,9/23/2023,10:00 PM,,د أسماء الجوير,https://drive.google.com/drive/folders/1-5VwlBxI2t8BwMEkagM57iZd_E5La6Km
sixtyonemin@gmail.com,مقهى 61 دقيقة,حلقة نقاشية,الدراسات,الرياض,الرياض,فعالية,هل يغيرنا الأدب؟,حلقة نقاش,9/26/2023,8:00 PM,9/26/2023,10:00 PM,,أ عبدالله الانصاري,https://drive.google.com/drive/folders/1ui5VFtOgxqWcG70wPKF_gqQZLgRtkYAg
sixtyonemin@gmail.com,مقهى 61 دقيقة,جلسة حوارية,النثر الخيالي,الرياض,الرياض,فعالية,القصة الأخبارية,محاضرة حول القصة الإخبارية مع خديجة الوعل,9/22/2023,8:00 PM,9/22/2023,10:00 PM,,خديجة الوعل,https://drive.google.com/drive/folders/1-6BCettAVYgbB6ZzcF_HUipUihO1xg19
sixtyonemin@gmail.com,مقهى 61 دقيقة,أمسية شعرية,الشعر,الرياض,الرياض,فعالية,امسية شعرية,امسية شعرية مع جمعية الأدب,9/23/2023,8:00 PM,9/23/2023,10:00 PM,,محمد عابس - هند المطيري - دلال المطيري -أسماء الجوير -زكية العتيبي,https://drive.google.com/drive/folders/1-5jTmUgLVyIGuRHMs6C-I_xQb_lsv4in
sixtyonemin@gmail.com,مقهى 61 دقيقة,محاضرة,الشعر,الرياض,الرياض,مساهمة,تبادل كتب بين زوار المقهى (ضع كتابك القديم وخذ كتاب جديد),تبادل كتب بين زوار المقهى (ضع كتابك القديم وخذ كتاب جديد),9/30/2023,8:00 PM,9/30/2023,10:00 PM,,-,https://drive.google.com/drive/folders/1M3DN_2B2FxQ-Trq6nvA953UUc-dJyqCe?usp=drive_link
