ايميل الشريك,اسم المقهى,نوع الفعالية,نوع الأدب,المنطقة الادراية,المدينة,تصنيف المبادرة,عنوان الفعالية,وصف الفعالية,تاريخ البداية,وقت البداية,تاريخ النهاية,وقت النهاية,اسم الضيف,التوثيق
sixtyonemin@gmail.com,مقهى 61 دقيقة,-,-,الرياض,الرياض,مساهمة,استبدل كتابك,استبدل كتابك,11/1/2023,8:00م,11/1/2023,10:00م,-,https://drive.google.com/drive/folders/1OoaBJHgtSfbinChJ-IroogVnrEFbSrEZ?usp=drive_link
IB@ashjarcafe.com,مقهى اشجار,محاضرة,النثر الخيالي,الرياض,الرياض,فعالية,ليله من ليالي الفصحى الحالمه,مجموعه من الاشعار الفصحى القصيره ، والنصوص الادبيه .,10/21/2023,8:00م,10/21/2023,10:00م,أحلام القاسم,https://drive.google.com/drive/folders/1BVepktQ-ycP10foi7N2q3lpUHMKo1YnZ?usp=drive_link
antiquecofe100@gmail.com,مقهى انتيك,حلقة نقاشية,النثر الغير خيالي,مكة المكرمة,مكة,فعالية,مدينة بنصف قلب,1 ـايش فائدة المدرسة 2 ـ حوار فلسفي جول قضية مدينة بنصف قلب تقدم بمنهجية P4C,9/9/2023,8:00م,9/9/2023,10:00م,وئام الحبشي,https://drive.google.com/drive/folders/1ydIT1zuG4lIumjg8NkVGGDQVOLdiuq0l?usp=drive_link
incoffee@mustqr.org,مقهى إن,جلسة حوارية,النثر الغير خيالي,المنطقة الشرقية,الظهران,فعالية,من نافذة النص إلى المشهد,يتحدث معنا الناقد السينمائي والمترجم أمين صالح عن الشعرية السينمائية ورحلتة في المشهد الأدبي,09/13/2023,8:00م,09/13/2023,10:00م,أمين صالح,https://x.com/inCoffee_sa/status/1704238493361217837?s=20
incoffee@mustqr.org,مقهى إن,جلسة حوارية,النثر الغير خيالي,المنطقة الشرقية,الظهران,فعالية,من مناطق المملكة إلى أيادينا,عن لغة من غير صوت نجوب في نقاش معرفي عن لغة الإشارة وجمالها ومشاركتها في الأدب,09/20/2023,8:00م,09/20/2023,10:00م,عبدالوهاب البابطين,https://x.com/inCoffee_sa/status/1704847271580357058?s=20
incoffee@mustqr.org,مقهى إن,جلسة حوارية,النثر الغير خيالي,المنطقة الشرقية,الظهران,فعالية,الترجمة الثقافية ودورها في التبادل والتوسع الثقافي,عن الدور الفعال الترجمة في التبادل والتوسع الثقافي وأثرها على الفرد والمجتمع,09/26/2023,8:00م,09/26/2023,10:00م,عبير حماد,https://x.com/inCoffee_sa/status/1706654545751793831?s=20
incoffee@mustqr.org,مقهى إن,جلسة حوارية,النثر الغير خيالي,المنطقة الشرقية,الظهران,فعالية,من ظل الترجمة الثقافية إلى نورها,ورشة عمل نقدم من خلالها أساسيات الترجمة العربية وتوجيهات عملية تساعد المترجم ليتعامل مع عقبات الترجمة,09/26/2023,8:00م,09/26/2023,10:00م,هيا البوعنين,https://drive.google.com/file/d/1kLSKQuhRnQCwvvlDVdN8fxYyIDOEaVLN/view?usp=sharing
paradigmyanbu@gmail.com,مقهى بارادايم,-,-,المدينة المنورة,ينبع,مساهمة,قراءة ورسم المانغا,مساهمة الصالون الأدبي بارادايم بدعوة محبين المانغا لمشاركتنا هواياتهم ورسمهم للشخصيات ومن ثم إبتكار قصة وحبكة من واقع الخيال لتصبح فيما بعد قصة مرسومه ومؤلفة من قبلهم,2/12/2024,8:00م,2/12/2024,10:00م,أعضاء الصالون الأدبي بارادايم,https://drive.google.com/drive/folders/1LsWigTTgOi5T5_B8GHCI-e88sVi7VMPI?usp=drive_link
mjo.alotaibi@gmail.com,مقهى بحر القهوة,-,-,المنطقة الشرقية,الجبيل,مساهمة,مساهمة المكتبة,--,02/21/2024,8:00م,02/21/2024,10:00م,-,https://drive.google.com/drive/folders/1E-5Nc7O0sMU75PsYyqKgT6wZiVEoC9G1?usp=drive_link
brewhemiancoffee@gmail.com,مقهى بروهيميان,حلقة نقاشية,الدراسات,المنطقة الشرقية,الخبر,فعالية,البداية من لا شيء,تجمع خطابي لممارسة مهارات الخطابة,9/12/2023,8:00م,9/12/2023,10:00م,عبدالماجد عثماني,https://drive.google.com/file/d/1gRQXGLrRzxLwvEmSYkSVM-zdFHSVzgzZ/view?usp=drive_link
